City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Union Hidalgo,MX,16.4723,-94.8295,86.95,50,100,17.76,overcast clouds
328,Nelson Bay,AU,-32.7167,152.15,66.99,84,100,1.99,overcast clouds
329,Kambove,CD,-10.8764,26.5969,65.75,77,96,3.36,overcast clouds
330,Lorengau,PG,-2.0226,147.2712,80.37,84,100,7.09,overcast clouds
331,Umm Kaddadah,SD,13.6017,26.6876,86.29,21,0,12.5,clear sky
332,Maarianhamina,AX,60.0973,19.9348,37.26,93,20,2.3,few clouds
333,Kerouane,GN,9.2667,-9.0167,75.88,73,6,3.2,clear sky
334,Ham Lake,US,45.2502,-93.2499,53.91,66,75,1.99,broken clouds
335,Shitanjing,CN,39.2342,106.3439,45.14,73,7,6.31,clear sky
336,Yulara,AU,-25.2406,130.9889,73.24,60,52,3.44,broken clouds
337,Buluang,PH,13.3068,123.3425,76.78,94,99,4.34,overcast clouds
338,Launceston,AU,-41.45,147.1667,45.81,92,0,5.75,clear sky
339,Manokwari,ID,-0.8667,134.0833,78.1,76,100,3.0,overcast clouds
340,Zatoka,UA,46.0725,30.4654,57.74,94,23,18.19,few clouds
341,Aasiaat,GL,68.7098,-52.8699,24.04,92,100,7.27,overcast clouds
342,Adwa,ET,14.1646,38.8955,63.48,35,2,4.16,clear sky
343,Sao Filipe,CV,14.8961,-24.4956,80.06,72,62,4.32,broken clouds
