City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Lompoc,34.6391,-120.4579,77.02,78,1,17.27,US,2021-10-30 22:30:53
221,Venice,27.0998,-82.4543,73.98,78,90,5.01,US,2021-10-30 22:30:53
222,Champerico,14.3,-91.9167,84.34,75,100,2.95,GT,2021-10-30 22:30:53
223,Agadez,19.75,10.25,76.41,27,40,9.89,NE,2021-10-30 22:30:54
224,Hearst,49.6835,-83.6665,44.85,84,3,3.51,CA,2021-10-30 22:31:54
225,Southern Pines,35.174,-79.3923,60.69,82,75,4.61,US,2021-10-30 22:27:10
226,Yalvac,38.2956,31.1778,49.68,74,93,1.41,TR,2021-10-30 22:31:55
227,Sorland,67.667,12.6934,48.92,89,100,22.17,NO,2021-10-30 22:31:55
228,Manokwari,-0.8667,134.0833,81.88,68,76,1.48,ID,2021-10-30 22:31:55
229,Vardo,70.3705,31.1107,38.77,73,97,10.4,NO,2021-10-30 22:31:56
230,Mudgee,-32.5943,149.5871,57.61,62,0,9.22,AU,2021-10-30 22:31:56
231,Carmarthen,51.8555,-4.3054,55.51,82,20,29.93,GB,2021-10-30 22:31:56
232,Seguela,7.9611,-6.6731,73.92,82,95,4.16,CI,2021-10-30 22:31:57
233,Coxim,-18.5067,-54.76,80.46,67,64,4.16,BR,2021-10-30 22:30:56
234,Dudinka,69.4058,86.1778,9.41,96,100,4.76,RU,2021-10-30 22:31:57
235,Mosjoen,65.836,13.1908,46.4,84,94,5.61,NO,2021-10-30 22:31:58
236,Oleksandrivka,48.9634,32.2349,43.47,74,0,6.71,UA,2021-10-30 22:31:58
237,Okhotsk,59.3833,143.3,11.17,70,14,23.69,RU,2021-10-30 22:31:58
238,Kardla,58.9978,22.7492,44.06,87,83,8.48,EE,2021-10-30 22:31:59
239,Timra,62.487,17.3257,39.67,100,75,3.44,SE,2021-10-30 22:31:59
240,Qaqortoq,60.7167,-46.0333,28.9,74,86,4.07,GL,2021-10-30 22:31:59
241,Opuwo,-18.0607,13.84,70.12,22,14,6.6,NA,2021-10-30 22:32:00
242,Saint-Augustin,51.226,-58.6502,44.85,58,4,4.07,CA,2021-10-30 22:28:29
243,Rucheng,32.3883,120.5553,58.98,82,29,0.78,CN,2021-10-30 22:32:00
244,Mahebourg,-20.4081,57.7,70.25,94,20,3.44,MU,2021-10-30 22:32:01
245,Harper,4.375,-7.7169,77.41,87,96,5.37,LR,2021-10-30 22:32:01
246,Margate,51.3813,1.3862,51.04,82,83,1.01,GB,2021-10-30 22:32:02
247,Kuusankoski,60.907,26.6244,45.12,99,90,6.91,FI,2021-10-30 22:32:02
248,Kindu,-2.95,25.95,69.67,99,94,1.1,CD,2021-10-30 22:32:03
249,Hasaki,35.7333,140.8333,54.28,66,85,8.75,JP,2021-10-30 22:32:03
250,Bathsheba,13.2167,-59.5167,81.21,74,20,13.8,BB,2021-10-30 22:32:04
251,Obo,5.3998,26.4869,68.58,94,74,1.12,CF,2021-10-30 22:32:04
252,Fernley,39.608,-119.2518,72.72,32,94,1.99,US,2021-10-30 22:32:04
253,Kyra,49.5776,111.9753,23.38,69,0,1.92,RU,2021-10-30 22:32:04
254,Metro,-5.1131,105.3067,75.99,88,89,3.15,ID,2021-10-30 22:32:05
255,Lorengau,-2.0226,147.2712,83.19,79,93,7.85,PG,2021-10-30 22:32:05
256,Labuhan,-6.8844,112.2051,80.37,81,92,4.43,ID,2021-10-30 22:32:06
257,Uyemskiy,64.4743,40.8524,41.05,93,90,4.47,RU,2021-10-30 22:32:06
258,Komsomolskiy,40.4272,71.7189,44.02,65,100,6.91,UZ,2021-10-30 22:32:06
259,Machachi,-0.5,-78.5667,56.75,99,99,1.52,EC,2021-10-30 22:32:07
260,Notre-Dame-Du-Lac,47.6136,-68.7964,42.03,81,88,2.71,CA,2021-10-30 22:32:07
261,Fairbanks,64.8378,-147.7164,43.14,65,1,11.5,US,2021-10-30 22:30:00
262,Monrovia,6.3005,-10.7969,76.77,87,99,5.28,LR,2021-10-30 22:32:07
263,Killybegs,54.6333,-8.45,47.44,81,96,17.52,IE,2021-10-30 22:32:08
264,Alofi,-19.0595,-169.9187,78.69,69,100,12.66,NU,2021-10-30 22:32:08
265,Ondjiva,-17.0667,15.7333,80.87,19,81,10.04,AO,2021-10-30 22:32:08
266,Huarmey,-10.0681,-78.1522,65.25,81,58,8.66,PE,2021-10-30 22:32:08
267,Khorixas,-20.3667,14.9667,66.78,23,1,3.85,NA,2021-10-30 22:32:09
268,Manado,1.487,124.8455,75.97,94,40,2.3,ID,2021-10-30 22:32:09
269,Hilo,19.7297,-155.09,82.26,70,40,8.05,US,2021-10-30 22:29:32
270,Baijiantan,45.6333,85.1833,46.24,61,100,1.88,CN,2021-10-30 22:32:09
271,Kiama,-34.6833,150.8667,64.0,64,0,3.42,AU,2021-10-30 22:32:04
272,Norwich,52.6278,1.2983,48.92,88,46,6.91,GB,2021-10-30 22:30:03
273,Smithers,54.7804,-127.1743,37.72,60,1,2.3,CA,2021-10-30 22:33:10
274,Puerto Carreno,6.189,-67.4859,81.23,79,68,4.29,CO,2021-10-30 22:29:16
275,Linda,39.1277,-121.5508,73.27,67,75,12.66,US,2021-10-30 22:32:44
276,Nordhausen,51.5167,10.8,54.34,92,85,9.42,DE,2021-10-30 22:33:10
277,Narsaq,60.9167,-46.05,28.62,71,95,4.32,GL,2021-10-30 22:33:11
